brand,model,age,km_driven,transmission,owner,fuel_type,posted_date,ask_price,log_price
Tata,Tiago,7,30000,Automatic,first,Petrol,Nov-24,355000,12.779873068457553
Audi,A6,10,78561,Automatic,first,Diesel,Nov-24,898970,13.709004942485384
Honda,City,9,63000,Manual,second,Petrol,Nov-24,600000,13.304684934198283
Honda,Amaze,9,65000,Manual,first,Petrol,Nov-24,410000,12.92391243868049
Volkswagen,Other_Models,10,102000,Automatic,second,Petrol,Nov-24,450000,13.017002861746503
Maruti Suzuki,Swift,3,35000,Automatic,first,Petrol,Oct-24,745000,13.521139497361697
Volkswagen,Other_Models,3,50000,Automatic,first,Petrol,Oct-24,1299000,14.077105295652737
Maruti Suzuki,Other_Models,12,60000,Automatic,second,Petrol,Nov-24,299000,12.608198852372823
BMW,5 Series,11,72000,Automatic,second,Diesel,Nov-24,1599000,14.284888991816091
Other_Brands,Other_Models,12,53000,Automatic,second,Petrol,Nov-24,1600000,14.28551418721001
Toyota,Other_Models,7,74000,Manual,second,Diesel,Nov-24,850000,13.652991628466498
Other_Brands,Other_Models,2,29000,Automatic,first,Petrol,Nov-24,2295000,14.646243401476783
Mercedes-Benz,Other_Models,9,20800,Automatic,second,Petrol,Nov-24,1700000,14.346138809026444
Hyundai,i20,8,95000,Manual,second,Petrol,Oct-24,565000,13.244581010128577
Mahindra,Thar,4,13000,Automatic,first,Diesel,Nov-24,1700000,14.346138809026444
Mahindra,Other_Models,2,4000,Manual,first,Petrol,Oct-24,2100000,14.557447902693651
Maruti Suzuki,Baleno,4,57000,Automatic,second,Petrol,Nov-24,685000,13.437174117244362
Mahindra,Other_Models,3,25000,Automatic,first,Diesel,Nov-24,2725000,14.817978986079481
Mahindra,Scorpio,8,92000,Manual,first,Diesel,Nov-24,1050000,13.864300722133706
